launch_speed,launch_angle,estimated_ba_using_speedangle
103.9,3,0.514
77.2,0,0.126
66.6,43,0.437
92.3,-4,0.217
100.1,26,0.514
106.3,20,0.743
72.7,-23,0.06
83.2,-30,0.04
102.2,14,0.786
70.8,33,0.663
97.8,-6,0.28
68.2,53,0.071
96.5,4,0.56
86.2,30,0.043
85.3,20,0.669
103.3,-5,0.283
92.2,17,0.657
91.9,-8,0.191
88.1,0,0.263
59.9,-46,0.174
92,5,0.463
78.3,-2,0.131
71.1,4,0.163
77.4,38,0.057
79.1,41,0.046
49.7,-38,0.151
104.3,-21,0.174
96.5,27,0.289
75.2,-38,0.086
79.1,29,0.151
79.5,-17,0.063
77.4,55,0.074
99.7,16,0.526
103.8,17,0.517
96.9,-8,0.251
94.7,-24,0.1
92.6,17,0.631
105.5,21,0.746
98.4,10,0.763
96.7,-12,0.194
99.7,15,0.694
74.1,-22,0.066
96.7,-11,0.231
74.6,48,0.094
70.2,43,0.391
95.7,-1,0.323
91,47,0.006
88.9,-32,0.069
68.8,-39,0.091
67.7,28,0.983
85.1,58,0.026
99.4,26,0.491
98.6,8,0.66
98.1,4,0.477
79.5,20,0.9
96.2,65,0.02
82.5,51,0.017
102.5,-12,0.254
98,34,0.263
84.5,11,0.494
101.5,11,0.909
95.1,22,0.189
95.9,-8,0.203
100.6,-4,0.334
75.8,27,0.503
105.9,20,0.743
95.9,-3,0.311
99.9,5,0.54
107.5,25,0.983
80.7,-45,0.109
90.4,50,0.009
93.1,24,0.146
82,-10,0.086
99.9,9,0.666
69.9,75,0.003
97.9,21,0.32
82.9,-23,0.051
56.5,47,0.083
66.7,13,0.314
77.1,6,0.223
77.6,-24,0.04
87.4,3,0.411
65.3,8,0.214
54.8,35,0.234
96,30,0.209
86.1,79,0.003
81.3,14,0.78
85.3,33,0.02
100.3,11,0.86
98.5,20,0.323
93.6,-24,0.086
92.1,37,0.037
78.8,-8,0.111
89.2,9,0.571
80.4,52,0.057
78.1,14,0.634
99.6,15,0.694
61.4,75,0.001
76,-5,0.094
87.3,44,0.001
95.1,50,0.003
100,62,0.017
96.2,9,0.646
91.5,9,0.586
73.8,-35,0.051
93.2,59,0.014
52.4,-69,0.22
80.3,80,0.003
92.9,-21,0.131
99.9,-12,0.211
102.4,4,0.554
59.7,-54,0.291
103.3,14,0.757
103.9,35,0.66
81.4,82,0.006
88.6,44,0.006
91.9,-8,0.191
100.2,33,0.449
90.9,66,0.011
52,27,0.171
75.5,3,0.151
93.4,57,0.011
93.5,-18,0.126
92.9,20,0.357
87.9,-20,0.111
99.8,-8,0.249
91.1,-38,0.066
85.8,82,0.001
107.4,25,0.957
113,25,0.997
111.3,14,0.754
68.1,38,0.671
107.7,26,0.989
82.5,48,0.02
107.6,12,0.931
99.7,39,0.166
104.4,30,0.883
104.5,15,0.66
103.7,18,0.489
62.3,42,0.309
96.7,-12,0.194
92.1,-24,0.129
103.3,45,0.083
71,22,0.96
88.4,71,0.003
75.6,57,0.057
68.5,31,0.911
100.2,15,0.694
95.7,-11,0.183
102.2,-13,0.194
88,43,0.001
110.3,5,0.643
71.4,13,0.331
109.4,7,0.717
60.8,-26,0.06
108,3,0.537
103.8,16,0.574
45.9,35,0.123
101.3,24,0.603
98.5,38,0.14
91.2,36,0.046
105.5,8,0.686
81.2,-25,0.06
96.2,-12,0.186
70.5,9,0.249
102.4,27,0.789
92.3,45,0.009
98.3,17,0.443
106.8,29,0.94
95.7,44,0.014
71.7,17,0.803
97.6,32,0.314
74.2,64,0.001
84.9,-7,0.163
80.2,65,0.003
106.6,18,0.649
97.1,12,0.94
100.4,54,0.014
86.3,14,0.917
99,24,0.491
87.6,30,0.04
107.4,-16,0.174
84.8,66,0.001
87.7,32,0.034
91.8,-21,0.12
76.1,-45,0.114
92.9,-25,0.103
107.4,-22,0.14
91.4,-13,0.14
77.7,20,0.98
95.6,14,0.92
88.4,3,0.354
78.4,29,0.206
93.8,0,0.383
65.6,-56,0.311
99,-22,0.14
86,-21,0.091
103.9,5,0.577
102.3,24,0.623
78.8,-26,0.051
96.4,-3,0.311
91.6,6,0.463
89.6,29,0.06
106.5,-7,0.357
93.4,-7,0.191
101.6,42,0.149
94.6,1,0.363
75.5,33,0.2
90.2,16,0.94
81.6,75,0.003
58.8,-35,0.069
108.2,4,0.606
89.8,-4,0.214
68.8,31,0.911
93.3,65,0.006
91.3,62,0.011
83,22,0.557
98.7,20,0.377
93.5,-10,0.177
91,12,0.826
90.1,-2,0.28
79.2,18,0.98
72.8,-5,0.083
95.4,28,0.209
83.1,87,0.001
104.7,-8,0.309
103.1,8,0.709
96,31,0.211
101.1,25,0.614
84.1,-3,0.149
104.4,-14,0.251
67,-5,0.091
85.1,-6,0.154
97.1,37,0.171
65.4,57,0.011
110.5,18,0.78
57.1,25,0.329
109.5,15,0.68
103.8,-20,0.18
104.9,3,0.571
87.2,41,0.003
89.5,52,0.006
98.7,11,0.869
105.5,18,0.583
81,40,0.023
67.1,50,0.174
100.9,24,0.603
87.2,0,0.237
80.3,37,0.029
102,13,0.914
90.1,48,0.006
99.1,7,0.586
107.2,5,0.606
97,-1,0.326
105,33,0.831
67.6,37,0.717
84.4,1,0.211
107.6,31,0.974
99.9,34,0.369
83,18,0.946
85.9,29,0.074
92.5,8,0.574
84.3,4,0.34
99.8,26,0.514
61,-42,0.157
100.9,1,0.443
84.5,-39,0.054
103.8,25,0.857
92,28,0.097
88.6,11,0.629
101.7,-6,0.266
104.3,6,0.606
74,38,0.24
105.1,44,0.203
100.1,-17,0.171
90.5,20,0.397
93.6,35,0.08
98.8,-2,0.354
93.1,8,0.574
90.9,14,0.966
96.7,5,0.563
84.9,-8,0.097
102,-16,0.186
103.2,19,0.48
94.9,-17,0.143
99.2,12,0.931
77.2,56,0.06
91.4,49,0.003
106.7,25,0.957
96.4,-22,0.117
86.7,32,0.043
100.2,27,0.551
70.1,-34,0.054
86.2,23,0.271
93.3,59,0.014
91.1,60,0.006
104.5,2,0.486
82.7,10,0.474
80,75,0.001
87.9,25,0.137
100.9,13,0.906
85.1,39,0.02
72.8,76,0.001
79.3,0,0.174
101.3,53,0.011
,,
62,-20,0.046
81.2,31,0.057
83.1,51,0.017
56.2,17,0.146
77.9,1,0.154
73.6,-25,0.034
74.2,-10,0.054
63.4,-16,0.04
95.1,13,0.937
99.7,21,0.394
108.9,35,0.9
111.2,38,0.829
94.9,47,0.003
101.9,-6,0.266
78,38,0.034
51.3,-10,0.111
73,10,0.263
93.2,26,0.177
68.2,-2,0.114
89.2,-9,0.16
75.8,-39,0.097
95.1,-2,0.311
102.3,6,0.603
74.1,-38,0.097
92.6,3,0.426
95.9,1,0.434
95.6,13,0.934
89.8,26,0.117
96.3,24,0.291
72.1,1,0.123
101,19,0.357
83.1,76,0.011
86.3,0,0.231
62.6,28,0.743
85.8,29,0.074
83.7,-25,0.066
97.5,30,0.297
96.3,-12,0.186
112.9,0,0.569
69.7,-29,0.051
88.8,13,0.911
73.4,-29,0.051
91.6,39,0.029
101.6,36,0.426
47.4,58,0.026
70.6,22,0.96
94,17,0.554
102.5,39,0.317
94.4,14,0.969
71.9,69,0.003
101.3,1,0.443
106.8,-9,0.309
92.1,12,0.831
69.3,3,0.143
98.5,9,0.637
89,-14,0.114
77,39,0.063
104.3,22,0.76
89,63,0.011
64.3,-55,0.311
101.5,11,0.909
98.6,14,0.86
100.2,5,0.54
103.2,20,0.551
98.7,9,0.637
71.4,11,0.3
79.7,-44,0.106
72.4,2,0.134
94.5,0,0.383
95,24,0.214
94.4,23,0.149
67.3,-5,0.091
98.9,-29,0.103
94.1,37,0.086
90.3,14,0.969
95.2,26,0.2
102.7,45,0.083
97.1,47,0.011
108,-4,0.443
101.2,0,0.434
78.1,25,0.617
84.2,26,0.151
100.3,17,0.494
95.5,18,0.394
97,36,0.166
61.6,-17,0.051
100.6,-1,0.369
99.7,12,0.934
93.2,17,0.631
103.8,9,0.749
96.1,33,0.171
97.2,-6,0.251
64,5,0.163
54.6,-13,0.091
103.2,20,0.551
107.5,11,0.909
87.3,-17,0.097
67.6,-27,0.043
106,-4,0.374
100.4,6,0.597
71,20,0.934
83.6,24,0.214
103.5,22,0.631
104.8,26,0.926
93.2,39,0.034
98,-4,0.266
78.4,7,0.266
89.4,75,0.006
61.9,-50,0.206
104,1,0.449
93.5,11,0.711
91.4,21,0.291
82.3,15,0.934
99.6,61,0.02
63.6,-14,0.04
94.4,46,0.006
85.1,8,0.449
100.5,-5,0.297
67.7,-36,0.089
92,14,0.954
111.1,30,0.991
76.6,50,0.06
108.1,12,0.931
88.3,69,0.001
104,9,0.749
97.3,3,0.474
98.9,-8,0.26
98.1,0,0.369
96.8,-3,0.294
94.6,26,0.2
76.6,12,0.377
97.3,38,0.117
89.2,-19,0.097
99,27,0.474
73.1,-21,0.054
98.7,-23,0.114
99.5,-20,0.16
85.5,34,0.014
102.8,41,0.24
91.6,42,0.003
84.8,15,0.98
90.3,22,0.203
77.6,28,0.18
93.2,22,0.194
80.9,33,0.043
79,69,0.003
59.3,56,0.02
90.6,35,0.043
81.2,7,0.351
104.5,14,0.743
85.8,63,0.014
87.6,-21,0.114
95.9,4,0.56
95.7,19,0.377
73.7,25,0.874
79.5,-29,0.049
95.2,26,0.2
102.5,27,0.789
96.6,26,0.3
78.3,-68,0.317
88.3,18,0.751
79.7,-13,0.071
90.2,37,0.034
83.2,-12,0.097
103.8,31,0.846
81.8,52,0.026
104.4,24,0.829
88.3,40,0.006
96.9,-13,0.2
53.3,-51,0.229
87.1,16,0.989
103.7,-12,0.297
83.9,6,0.391
74.8,71,0.001
91.9,18,0.614
47.3,-31,0.174
81.1,1,0.217
94.2,-27,0.109
104.8,13,0.869
90.1,22,0.203
92.8,-16,0.146
84.9,2,0.294
50.6,-66,0.231
98.1,36,0.174
108,-11,0.323
85.5,-4,0.174
93.3,3,0.426
105.7,-1,0.44
97.3,27,0.34
98,3,0.477
102.8,40,0.271
72.8,-57,0.283
49.7,-50,0.214
90.7,2,0.346
101.2,13,0.906
75.2,52,0.111
100.9,-13,0.197
91.6,-27,0.109
95,33,0.117
74.6,-13,0.057
76.9,-23,0.049
87.1,17,0.929
100,-9,0.237
84.1,-1,0.22
84.4,50,0.009
54.7,45,0.091
102.4,4,0.554
80.8,42,0.014
81.7,39,0.011
83.3,-33,0.049
99.2,35,0.28
63.6,-59,0.237
102.1,-2,0.389
104.9,30,0.88
70.4,43,0.391
82,41,0.011
94.8,36,0.126
70.4,-25,0.051
59.9,-37,0.069
74.4,28,0.691
67,0,0.12
56.3,12,0.174
102.7,-25,0.157
94.7,-12,0.143
73.1,-2,0.089
69.2,75,0.009
88.1,10,0.554
86.8,12,0.72
105.1,37,0.603
102.3,-2,0.389
91.6,14,0.954
82.4,50,0.034
94.3,55,0.006
85.1,21,0.511
94.7,-22,0.114
84.9,28,0.077
78.4,-43,0.103
103.3,13,0.934
97.4,-7,0.231
93.9,-7,0.186
95.5,21,0.303
96,30,0.209
102.1,-6,0.266
87.8,-13,0.134
62.9,46,0.251
71.4,-19,0.051
86.6,36,0.023
66.8,57,0.003
75,-3,0.114
111,10,0.894
97.6,14,0.903
104.3,-13,0.243
68.5,-16,0.049
95.9,52,0.017
73.6,4,0.171
95.2,6,0.469
72.2,-7,0.08
96.3,40,0.071
66.3,-4,0.103
86.6,21,0.42
102.1,10,0.8
85.2,-35,0.066
89.5,-38,0.06
86.4,31,0.054
71.4,85,0.001
97.5,56,0.017
86.6,-25,0.097
76.5,32,0.211
67.1,13,0.314
88.6,-25,0.074
97.9,13,0.937
92.3,1,0.346
92,-5,0.217
86.5,33,0.014
71.5,10,0.257
97.4,2,0.457
54.4,-62,0.266
100,15,0.694
95.8,43,0.031
106.4,2,0.469
73.9,45,0.186
91.6,-15,0.146
86.2,14,0.917
79.4,45,0.043
93.7,-8,0.203
89.8,62,0.011
94.1,-29,0.097
88.7,-16,0.106
49.2,-41,0.206
90.2,-49,0.143
102,19,0.42
98.5,31,0.397
69.6,6,0.243
99.5,-18,0.149
85.9,54,0.014
64.4,23,0.68
96.2,11,0.791
97.2,-14,0.217
59.6,-63,0.263
70.3,-32,0.054
94.3,26,0.194
100.8,-21,0.111
99.5,-19,0.163
94.5,-8,0.203
88,52,0.017
87,5,0.403
100.3,19,0.346
60.7,0,0.114
93.2,18,0.554
88.7,63,0.011
95.7,-10,0.229
60.6,57,0.017
96.4,31,0.211
103.7,2,0.486
83.6,49,0.003
77.5,3,0.174
98.5,44,0.037
110.8,21,0.98
61.5,-81,0.14
106.9,-22,0.14
84.7,28,0.077
81.5,23,0.52
86.6,-3,0.217
97.2,-13,0.2
110.5,23,0.991
93.7,3,0.446
47.4,46,0.054
93.7,27,0.151
113,3,0.629
93.9,31,0.177
106,14,0.729
91.5,53,0.006
104.5,21,0.697
94,-2,0.306
105,27,0.949
103.6,-17,0.189
99.4,18,0.363
81.5,19,0.937
91,-2,0.286
99.6,17,0.494
93.9,52,0.006
66.5,-28,0.046
82.7,67,0.001
92.6,-13,0.134
108.2,17,0.663
102.2,-3,0.391
98.4,3,0.477
83.6,-5,0.166
90.8,-11,0.151
85,39,0.02
67.6,19,0.717
104.1,25,0.857
98.9,16,0.603
72.7,35,0.34
68.6,-5,0.114
104.2,22,0.76
105.7,-7,0.311
87.1,59,0.02
93.3,54,0.006
84.6,30,0.06
104,4,0.557
72.4,-14,0.057
82.4,30,0.091
99.9,24,0.523
95.8,13,0.934
95.3,5,0.451
90.5,37,0.034
73.6,-39,0.103
72,-1,0.094
71.9,-16,0.043
106,25,0.937
108.7,29,0.989
56.2,-25,0.077
72.1,-39,0.103
85.7,-5,0.186
83.3,60,0.011
84.2,8,0.417
67.5,-15,0.051
91,9,0.537
88.3,2,0.311
85.8,76,0.006
92.8,71,0.003
64,14,0.269
94.5,6,0.523
95.2,-17,0.143
84.4,2,0.254
76.5,-6,0.071
78.2,-31,0.054
88.8,-47,0.134
99.4,18,0.363
94.6,52,0.014
101.9,36,0.426
61.3,19,0.331
75.8,-8,0.086
93,49,0.003
99,19,0.346
100.6,-28,0.134
90.6,19,0.489
32.2,-34,0.294
85.3,16,0.986
92.6,-15,0.154
102.1,19,0.42
81.6,5,0.334
104.7,4,0.569
100.3,15,0.694
94.8,28,0.209
87.3,10,0.563
103.4,-2,0.403
65.7,-59,0.271
75.2,-22,0.043
101,13,0.906
56,14,0.143
87.3,-13,0.123
77.5,6,0.223
83.6,-8,0.111
76.3,51,0.069
58.9,45,0.177
97.7,17,0.443
92.2,-4,0.217
96.9,19,0.346
102.3,0,0.451
88.5,-22,0.129
85.6,56,0.011
93.1,22,0.194
105.2,24,0.903
69,70,0.003
99.7,-12,0.211
60.3,-24,0.06
85.8,31,0.054
87.2,11,0.64
103,28,0.76
82.2,-8,0.103
76.3,48,0.083
99.8,12,0.934
70.2,-28,0.04
90.1,-16,0.12
101.9,15,0.691
105.6,3,0.523
102.4,7,0.669
62.8,58,0.014
105.7,1,0.494
106.2,25,0.937
96.8,12,0.94
84.7,47,0.014
91.2,-3,0.269
79.3,-12,0.083
101,20,0.477
94.7,79,0.011
103.8,12,0.914
89.5,45,0.011
81.1,52,0.037
94.3,2,0.457
63,-18,0.04
83,19,0.914
106.6,27,0.971
88.7,-10,0.137
88.4,11,0.617
41.3,-37,0.297
83.4,83,0.009
87.9,29,0.046
89.7,36,0.054
73,-24,0.06
107.4,55,0.014
97.9,-19,0.163
97.1,-4,0.277
92.4,46,0.001
101.4,23,0.523
95.1,66,0.006
97.5,24,0.323
71.2,-6,0.091
79.4,-15,0.054
109.2,-14,0.249
91.3,14,0.966
75.4,35,0.137
80.8,16,0.94
96,41,0.051
84.1,32,0.023
82.5,8,0.391
84.6,44,0.017
104.2,1,0.449
76,17,0.894
93.4,18,0.554
80.5,52,0.057
98.5,-23,0.114
80.9,6,0.346
80.2,82,0.003
76.8,1,0.171
95.6,-10,0.229
78,25,0.617
63.6,16,0.286
81.7,-40,0.083
106.1,19,0.683
56.7,-45,0.214
107.7,3,0.537
89.5,-37,0.057
85,2,0.294
104.2,3,0.514
93.8,17,0.554
81.8,-33,0.049
89.3,12,0.829
81.9,67,0.001
81.7,51,0.034
91.4,-22,0.074
92.2,26,0.163
98.3,-19,0.163
91.3,60,0.006
97.7,32,0.314
106.3,-4,0.374
72,18,0.854
104.5,51,0.023
101,28,0.646
83.1,13,0.671
91.1,45,0.014
91.3,-10,0.177
86.6,-45,0.106
79.9,51,0.043
74.8,66,0.003
66.2,-5,0.097
72.9,-20,0.051
104.3,20,0.583
95.4,18,0.46
61.9,-40,0.143
98.4,19,0.346
88.8,-17,0.091
85.8,-20,0.077
96.7,-10,0.246
99,7,0.586
77.4,46,0.077
90.7,62,0.011
99.5,29,0.506
95.4,-30,0.063
75.1,12,0.346
95.4,-6,0.251
93.3,42,0.003
86.2,20,0.597
90.5,0,0.277
65.4,-27,0.04
98.5,23,0.317
101.1,14,0.783
93.6,-3,0.26
60.7,-46,0.163
71.2,78,0.001
92.3,15,0.926
84.9,14,0.889
79.3,6,0.269
82.3,28,0.109
114.7,-3,0.463
87.3,-10,0.149
98.1,13,0.937
93.9,43,0.009
78.8,18,0.98
62.5,-72,0.186
83.1,49,0.009
90.7,57,0.011
103.9,6,0.606
70.5,34,0.711
57,21,0.266
70.3,26,0.991
78.5,-18,0.071
70.6,75,0.001
69.4,42,0.46
90.3,22,0.203
67.3,24,0.909
104.1,17,0.517
72.1,27,0.891
65.9,10,0.206
99.6,19,0.346
106.4,6,0.623
99.2,-25,0.097
72.7,-27,0.037
108.8,9,0.8
70.8,53,0.126
111.9,3,0.583
94,-25,0.086
74.2,53,0.114
87.4,67,0.006
95.8,43,0.031
79.6,44,0.011
100.2,16,0.526
100.4,28,0.597
76.5,-20,0.046
64.6,15,0.317
94.5,35,0.08
90.5,-3,0.269
80.8,-21,0.043
95.4,-3,0.306
99.2,-3,0.323
83.3,12,0.531
91.3,-21,0.097
92.5,71,0.003
79.4,71,0.006
82,2,0.246
88.9,22,0.24
96.2,7,0.566
97.3,-10,0.246
81.6,-42,0.089
88.1,-4,0.183
108.9,-5,0.429
105.3,11,0.934
44,-66,0.237
102.9,11,0.943
95.8,5,0.534
77.1,34,0.097
95.6,48,0.001
91.6,-30,0.089
96.3,19,0.377
101,-13,0.197
105.3,6,0.626
95.4,21,0.257
94.6,-2,0.311
101.9,-15,0.186
63.8,12,0.234
83.9,-15,0.106
88.8,-1,0.257
96.9,35,0.157
86.4,57,0.029
87.3,71,0.001
97.3,-7,0.231
104.5,31,0.846
78.9,62,0.011
103.3,8,0.709
75.4,67,0.001
97.8,44,0.034
76.5,-23,0.043
99.5,28,0.534
86.8,-24,0.106
100.5,19,0.346
104,5,0.577
92.6,13,0.937
90.2,39,0.009
103.6,26,0.877
79.8,62,0.014
94.8,23,0.163
90.2,5,0.437
,,
70.8,6,0.237
96,21,0.303
87.1,18,0.834
82.8,-27,0.057
98.5,24,0.417
84.6,49,0.009
105.2,14,0.743
80.6,26,0.217
86.1,-3,0.186
93.7,10,0.649
88.1,20,0.523
72.2,-2,0.083
77.3,10,0.303
63.9,-67,0.226
106.2,-6,0.369
99,-13,0.206
92.7,21,0.229
73.2,-25,0.049
98.2,38,0.14
104.8,8,0.686
92.3,22,0.206
94.8,29,0.231
77.5,8,0.249
93.9,27,0.151
94.3,18,0.503
99.7,14,0.851
83.5,40,0.011
61.2,-2,0.1
78.6,-16,0.051
78.1,-20,0.071
77.6,77,0.003
80.5,-32,0.054
101.9,-7,0.32
81.2,24,0.457
97.9,47,0.009
72.6,-11,0.049
95.4,3,0.434
100.3,-16,0.183
91.2,5,0.471
100.7,22,0.469
104.7,-6,0.343
97.2,25,0.283
79.9,34,0.051
92.5,27,0.117
64.2,-54,0.3
87.2,7,0.463
83.3,14,0.863
92.7,29,0.129
74.9,-56,0.289
76.1,-11,0.074
103.9,-2,0.374
74.3,35,0.246
93.2,38,0.04
76,12,0.369
82.6,10,0.474
108.3,13,0.854
104.7,4,0.569
88.6,22,0.24
94,30,0.171
72.9,6,0.223
99.4,41,0.091
83.4,7,0.4
94.4,18,0.503
94.1,27,0.151
88.9,-14,0.114
78.6,-16,0.051
97,33,0.251
105.6,6,0.623
66.4,26,0.926
70.2,-8,0.069
72.9,-27,0.037
91.7,75,0.001
95.7,40,0.071
91.9,35,0.066
100.9,11,0.909
92.4,13,0.943
94.3,43,0.009
98.6,35,0.28
83.6,30,0.051
106.9,10,0.834
87.1,46,0.001
96,-2,0.314
90.6,29,0.066
97.5,-5,0.263
94.3,-16,0.151
84.5,-16,0.089
91.8,-10,0.191
95.5,-13,0.191
89.2,65,0.003
77.4,-14,0.051
111.1,27,0.994
93.7,10,0.649
102.6,0,0.431
100.7,-14,0.183
90,47,0.003
105.9,-6,0.369
88.5,45,0.011
95,-16,0.111
72.3,3,0.134
92.7,11,0.711
54.8,23,0.243
78,26,0.46
104.7,8,0.686
99.8,15,0.694
81.1,-31,0.043
105.1,-3,0.391
90.2,48,0.006
88.3,9,0.529
99.6,6,0.597
86.6,56,0.006
83.7,18,0.931
72.1,-32,0.071
82.8,-31,0.037
112.4,0,0.569
106.3,3,0.523
95.5,29,0.231
93.4,33,0.086
76.5,69,0.003
97.1,13,0.954
82.6,-4,0.16
96.7,2,0.457
101.3,1,0.443
115.1,16,0.834
97,-4,0.277
71.2,6,0.237
77.5,8,0.329
92.3,0,0.303
91.1,-21,0.097
67.2,67,0.001
94.3,9,0.62
70.9,44,0.314
95.2,25,0.2
104.9,2,0.497
104.1,6,0.606
90.1,29,0.06
103.2,21,0.551
92.5,24,0.143
86.6,47,0.001
79.7,1,0.197
67.6,63,0.006
67.5,-29,0.054
93,-11,0.157
102.7,32,0.654
90,49,0.009
92.4,11,0.703
90.7,39,0.02
96.2,-7,0.183
105.3,41,0.331
103.3,9,0.763
80.3,-38,0.074
97.8,-3,0.351
101,21,0.391
80.2,80,0.003
88.1,-1,0.257
89.2,39,0.003
87.6,54,0.017
83.6,-24,0.057
59,16,0.186
93.4,44,0.009
84,59,0.017
86.2,4,0.351
94.8,55,0.006
104.3,18,0.489
108.2,19,0.74
104.9,3,0.571
80.6,-60,0.323
99.3,21,0.32
91,68,0.003
85.8,2,0.3
87.4,-22,0.111
100.3,11,0.86
66.1,43,0.383
106.8,2,0.489
87.3,7,0.463
76.1,-29,0.049
106.6,-9,0.309
73.4,-14,0.06
94.8,-8,0.209
98.2,30,0.42
99.5,12,0.934
94.8,49,0.003
83.3,43,0.006
95.6,30,0.209
108.7,8,0.706
104.6,-12,0.283
100.6,-9,0.249
103.1,11,0.943
93.7,32,0.171
77.2,14,0.563
106.5,32,0.9
108.8,18,0.771
88.5,13,0.911
64.1,26,0.771
87.4,-11,0.137
73.6,0,0.123
79.5,58,0.046
78.1,-25,0.046
97.8,-12,0.18
81.6,57,0.031
101.6,38,0.334
98.6,31,0.397
93.1,-11,0.157
71.1,54,0.1
94.4,26,0.194
85.7,-20,0.077
98.7,16,0.603
90,40,0.009
101.3,36,0.406
77.2,22,0.931
100.6,22,0.469
112,38,0.843
101.4,-16,0.211
102.3,4,0.554
92.4,51,0.006
105.3,28,0.934
94.9,10,0.709
62.7,19,0.434
86.2,-21,0.091
83.7,32,0.023
83.2,14,0.863
108.2,2,0.511
99.1,-5,0.274
74.3,24,0.911
89.1,-14,0.114
94.2,6,0.523
88.8,-1,0.257
108.5,11,0.946
103.7,12,0.914
101.4,22,0.469
82.1,-16,0.083
92.1,-12,0.134
79.4,6,0.269
72.6,2,0.12
74.7,-20,0.046
73.9,14,0.431
91.1,26,0.094
90.3,4,0.389
81.1,25,0.317
62.3,-4,0.097
89.2,21,0.303
87.6,54,0.017
100.7,4,0.577
95.9,37,0.114
93.2,29,0.129
73.1,23,0.974
105.5,9,0.743
94.3,-22,0.129
91.9,2,0.446
84.9,-10,0.111
103.6,28,0.863
63.7,39,0.423
101,46,0.037
105.8,35,0.751
81.7,19,0.94
75.8,1,0.169
87.3,47,0.001
86.6,54,0.02
55.7,1,0.094
94.8,14,0.926
99.1,15,0.766
78.4,-8,0.111
91.9,35,0.066
75.5,-21,0.04
63.2,-67,0.226
106.9,33,0.883
105.9,26,0.94
76.4,-5,0.094
100.1,4,0.54
100.3,26,0.514
69.7,70,0.003
106.2,11,0.92
97.6,-10,0.237
102.8,-2,0.403
85.2,10,0.483
91.4,62,0.011
83.2,24,0.283
72.9,33,0.371
94.5,15,0.863
100.7,20,0.477
91.6,13,0.943
103.6,18,0.489
99.4,21,0.32
107.5,8,0.654
101.9,35,0.466
84,5,0.394
87.4,29,0.049
89.7,-4,0.214
73.4,55,0.091
102.5,9,0.763
89.4,-26,0.071
82.1,-13,0.091
69.3,7,0.223
102.9,27,0.851
103.4,3,0.534
97,-14,0.217
60.8,25,0.517
90.8,-36,0.054
99.7,35,0.366
52,-66,0.22
107.4,34,0.831
89.4,10,0.583
95.1,-9,0.2
89.7,-5,0.186
92.2,31,0.08
102,32,0.626
110.3,3,0.609
90.9,62,0.011
82.6,-20,0.054
103.8,14,0.734
81.6,42,0.011
86.4,-30,0.077
93.6,64,0.006
83.1,21,0.68
99.8,8,0.583
105,-19,0.22
99,6,0.586
56.9,-27,0.08
74.3,44,0.174
84,16,0.969
96.8,-4,0.277
100.9,10,0.8
89.5,44,0.006
88.1,37,0.02
94.7,31,0.171
77.5,-60,0.337
103.9,9,0.749
97.6,21,0.32
88,12,0.734
86.8,-43,0.074
93.4,5,0.52
104.3,-6,0.357
96.6,-6,0.251
99.6,-8,0.249
91.1,54,0.009
96.4,0,0.414
96.8,18,0.42
67.3,79,0.009
70.3,18,0.746
90.5,42,0.009
64.9,-16,0.04
83.6,39,0.017
76.2,6,0.251
88.4,-13,0.134
87.1,17,0.929
84.1,-1,0.22
96.4,5,0.534
102.2,12,0.937
90.8,-13,0.14
80.9,60,0.023
100.7,21,0.391
103.2,9,0.763
90.4,5,0.437
83.1,-14,0.126
54.5,-76,0.123
63.1,-25,0.054
98.5,17,0.471
93.3,27,0.117
74.4,-32,0.057
96.5,28,0.28
104.3,0,0.429
103.8,-9,0.314
106.3,7,0.66
76.8,9,0.306
99.6,6,0.597
87.7,32,0.034
74.4,-19,0.043
94.6,-11,0.169
87.8,25,0.137
67.8,-28,0.04
70.2,-18,0.071
101.7,16,0.611
100.8,28,0.646
97.2,12,0.94
97.1,17,0.474
100.3,18,0.389
50.7,-70,0.203
97.6,45,0.014
,,
86.9,25,0.114
73.9,-11,0.049
100.1,14,0.851
93.3,42,0.003
95.3,2,0.469
94.6,3,0.434
77.9,67,0.003
97.1,5,0.563
56.1,-21,0.114
102,11,0.92
103.3,2,0.514
93.7,8,0.549
90.4,-30,0.089
104.9,19,0.591
88.6,38,0.026
77,-44,0.109
88,52,0.017
102.1,2,0.523
96.2,56,0.014
97.6,-3,0.351
84.9,2,0.294
75.4,46,0.137
86.6,-13,0.123
43.9,-64,0.211
68.2,-10,0.069
92.5,24,0.146
91.9,-30,0.089
93,62,0.006
85.7,17,0.957
102.6,8,0.709
81.6,9,0.454
102.2,8,0.711
108.7,10,0.897
75.6,-22,0.043
97.6,53,0.003
74.8,4,0.186
96.1,-1,0.323
95.4,11,0.757
86.8,15,0.977
82.6,24,0.283
91.7,46,0.001
50.1,-42,0.197
72.8,41,0.26
77.4,62,0.011
53.5,-25,0.1
64.1,-6,0.094
100.9,5,0.589
95.5,-8,0.209
48.9,14,0.146
86.9,-1,0.26
80.4,-7,0.117
84.6,-5,0.169
97.1,28,0.28
89.1,24,0.146
102.7,-6,0.286
100.5,-8,0.243
101.4,8,0.66
102,5,0.563
99.6,-14,0.209
92.5,2,0.446
101,-15,0.186
70.3,62,0.011
72.1,9,0.246
91.8,45,0.009
